equipment_id,equipment_type,usage_hours,days_since_maintenance,temperature,load,failure
1,X-Ray,443,14,35.04383963369587,0.11576439177585601,1
2,Ventilator,299,59,57.98588380144685,0.31973256138013684,0
3,X-Ray,196,56,49.65643100829628,0.8477894722075349,0
4,X-Ray,491,7,54.39766269076404,0.878147952359533,1
5,Ventilator,145,3,70.28641779069775,0.7916674280714121,1
6,Ventilator,306,23,44.26289009294146,0.20179883716891572,0
7,X-Ray,374,18,66.25468262385623,0.8159593345267628,1
8,MRI,53,38,45.32216357304124,0.9268100172941538,0
9,X-Ray,65,99,41.23228259367497,0.6405485882916125,1
10,X-Ray,329,15,,0.9467878207042584,1
11,X-Ray,385,64,31.06225524073779,0.8441549953406897,0
12,X-Ray,296,89,25.420217634656474,0.7002743652918165,1
13,Ventilator,307,28,66.25915553212872,0.6194667130405733,1
14,X-Ray,433,74,24.094982321245496,0.4137163005177734,1
15,MRI,209,39,70.22473944218177,0.24335870071852464,1
16,Ventilator,389,57,46.231603781434615,0.6444585304214867,0
17,MRI,201,17,74.93082063751484,0.3863003982563076,1
18,MRI,445,86,,0.8797948007748809,1
19,MRI,227,90,56.62428002047746,0.9940032436227656,1
20,MRI,212,44,76.95840782346593,0.7771849863540152,1
21,Ventilator,429,25,43.79896238312325,0.18143352575834568,1
22,Ventilator,82,17,77.24521619237798,0.3598170359775743,1
23,MRI,466,13,28.100076645272416,0.19819866858917476,1
24,MRI,494,84,49.02529651594477,0.6854604830125441,1
25,Ventilator,228,25,36.19467334353169,0.7886717781002062,0
26,Ventilator,476,68,52.39056673449161,0.9331073477926406,1
27,Ventilator,150,10,29.720832673495075,0.49435511177078895,0
28,X-Ray,317,67,70.4917796186026,0.9112380846295999,1
29,X-Ray,372,18,70.78447095887344,0.8901020431371948,1
30,X-Ray,114,86,77.31417876340873,0.38547614508885875,1
31,MRI,466,34,29.280328452994173,0.8820105629865139,1
32,X-Ray,217,8,57.399953054299445,0.4381050266935539,0
33,MRI,379,40,48.45423852202218,0.3671823471042527,0
34,MRI,92,83,40.66302392265399,0.6841671929149538,1
35,X-Ray,93,42,41.09240966805313,0.395543105096573,0
36,MRI,334,41,44.76761303640514,0.6671878734962298,0
37,X-Ray,446,6,,0.6488486249488251,1
38,X-Ray,61,52,55.89716349608928,0.6070950346136129,0
39,Ventilator,144,26,47.58089076566787,0.44237773380951795,0
40,X-Ray,351,64,24.556004622177326,0.5936497494863291,0
41,Ventilator,435,98,24.665920644737426,0.6368369274868795,1
42,X-Ray,302,59,20.140363437546696,0.591118199645926,0
43,X-Ray,291,56,78.06196329242519,0.4999775074760814,1
44,Ventilator,84,59,20.315229113503094,0.11320035134163743,0
45,Ventilator,264,70,26.185624760824695,0.6283555369310359,0
46,X-Ray,386,33,38.875793408564654,0.2515999466284477,0
47,MRI,139,53,68.44581510900568,0.6783183720524706,1
48,Ventilator,313,22,77.72592714584707,0.7834098951305793,1
49,MRI,142,21,67.40081352751136,0.5504007782176673,1
50,MRI,459,70,61.43361394673843,0.5881272984817645,1
51,MRI,139,70,51.27804004481416,0.956330703699392,0
52,Ventilator,467,4,25.202312711731018,0.8624506252353168,1
53,MRI,164,94,77.49024758023583,0.9228128643563229,1
54,Ventilator,154,75,65.50354483674089,0.8323896594876278,1
55,MRI,440,62,58.33696312005571,0.19802650766205832,1
56,X-Ray,245,62,,0.23409267037317524,1
57,X-Ray,363,94,63.44619975638832,0.5739614175420636,1
58,Ventilator,163,95,58.23389478736921,0.3214626929181984,1
59,X-Ray,124,24,78.83460801079929,0.5290259275370433,1
60,X-Ray,462,55,74.2018287581615,0.4549287914365152,1
61,MRI,425,9,58.7998951470298,0.594472814587408,1
62,Ventilator,469,3,61.59051268741548,0.7721881445222404,1
63,MRI,266,31,23.0957483995226,0.743941816389347,0
64,MRI,326,40,60.19504787300235,0.5691107192368009,1
65,MRI,298,36,22.64992626260601,0.8401540769353523,0
66,MRI,213,24,55.29582541819586,0.48777588238423,0
67,MRI,443,95,79.96120997395009,0.9070428608561101,1
68,MRI,406,6,53.34839488623078,0.16415224304964754,1
69,MRI,457,66,48.392607084880005,0.9591940270299767,1
